Accession_number 	ID 	Description
P0ACU7	YJDC_ECOLI	RecName: Full=HTH-type transcriptional regulator yjdC;
P0AD49	RAIA_ECOLI	RecName: Full=Ribosome-associated inhibitor A; AltName: Full=Protein Y; AltName: Full=SpotY; Short=pY;
P0AD59	IVY_ECOLI	RecName: Full=Inhibitor of vertebrate lysozyme; Flags: Precursor;
P0AD61	KPYK1_ECOLI	RecName: Full=Pyruvate kinase I; EC=2.7.1.40; AltName: Full=PK-1;
P0AD96	LIVJ_ECOLI	RecName: Full=Leu/Ile/Val-binding protein; Short=LIV-BP; Flags: Precursor;
P0ADA1	TESA_ECOLI	RecName: Full=Acyl-CoA thioesterase I; EC=3.1.2.-; AltName: Full=Lecithinase B; AltName: Full=Lysophospholipase L1; EC=3.1.1.5; AltName: Full=Protease I; Flags: Precursor;
P0ADA3	NLPD_ECOLI	RecName: Full=Murein hydrolase activator NlpD; Flags: Precursor;
P0ADE6	YGAU_ECOLI	RecName: Full=Uncharacterized protein ygaU;
P0ADE8	YGFZ_ECOLI	RecName: Full=tRNA-modifying protein ygfZ;
P0ADG4	SUHB_ECOLI	RecName: Full=Inositol-1-monophosphatase; Short=I-1-Pase; Short=IMPase; Short=Inositol-1-phosphatase; EC=3.1.3.25;
P0ADG7	IMDH_ECOLI	RecName: Full=Inosine-5'-monophosphate dehydrogenase; Short=IMP dehydrogenase; Short=IMPD; Short=IMPDH; EC=1.1.1.205;
P0ADI4	ENTB_ECOLI	RecName: Full=Isochorismatase; EC=3.3.2.1; AltName: Full=2,3 dihydro-2,3 dihydroxybenzoate synthase; AltName: Full=Enterobactin synthase component B; AltName: Full=Enterochelin synthase B; AltName: Full=Isochorismate lyase;
P0ADU2	YGIN_ECOLI	RecName: Full=Probable quinol monooxygenase ygiN; Short=QuMo; EC=1.-.-.-;
P0ADV7	MLAC_ECOLI	RecName: Full=Probable phospholipid-binding protein mlaC; Flags: Precursor;
P0ADX9	RSMD_ECOLI	RecName: Full=Ribosomal RNA small subunit methyltransferase D; EC=2.1.1.171; AltName: Full=16S rRNA m2G966 methyltransferase; AltName: Full=rRNA (guanine-N(2)-)-methyltransferase;
P0AE08	AHPC_ECOLI	RecName: Full=Alkyl hydroperoxide reductase subunit C; EC=1.11.1.15; AltName: Full=Alkyl hydroperoxide reductase protein C22; AltName: Full=Peroxiredoxin; AltName: Full=SCRP-23; AltName: Full=Sulfate starvation-induced protein 8; Short=SSI8; AltName: Full=Thioredoxin peroxidase;
P0AE18	AMPM_ECOLI	RecName: Full=Methionine aminopeptidase; Short=MAP; EC=3.4.11.18; AltName: Full=Peptidase M;
P0AE52	BCP_ECOLI	RecName: Full=Putative peroxiredoxin bcp; EC=1.11.1.15; AltName: Full=Bacterioferritin comigratory protein; AltName: Full=Thioredoxin reductase;
P0AE67	CHEY_ECOLI	RecName: Full=Chemotaxis protein CheY;
P0AED0	USPA_ECOLI	RecName: Full=Universal stress protein A;
P0AEE1	DCRB_ECOLI	RecName: Full=Protein dcrB; Flags: Precursor;
P0AEE5	DGAL_ECOLI	RecName: Full=D-galactose-binding periplasmic protein; Short=GBP; AltName: Full=D-galactose/ D-glucose-binding protein; Short=GGBP; Flags: Precursor;
P0AEG4	DSBA_ECOLI	RecName: Full=Thiol:disulfide interchange protein DsbA; Flags: Precursor;
P0AEK4	FABI_ECOLI	RecName: Full=Enoyl-[acyl-carrier-protein] reductase [NADH] FabI; Short=ENR; EC=1.3.1.9; AltName: Full=NADH-dependent enoyl-ACP reductase;
P0AEM9	FLIY_ECOLI	RecName: Full=Cystine-binding periplasmic protein; Short=CBP; AltName: Full=Protein fliY; AltName: Full=Sulfate starvation-induced protein 7; Short=SSI7; Flags: Precursor;
P0AEQ3	GLNH_ECOLI	RecName: Full=Glutamine-binding periplasmic protein; Short=GlnBP; Flags: Precursor;
P0AES4	GYRA_ECOLI	RecName: Full=DNA gyrase subunit A; EC=5.99.1.3;
P0AES9	HDEA_ECOLI	RecName: Full=Chaperone-like protein hdeA; AltName: Full=10K-S protein; Flags: Precursor;
P0AET2	HDEB_ECOLI	RecName: Full=Protein hdeB; AltName: Full=10K-L protein; Flags: Precursor;
P0AET8	HDHA_ECOLI	RecName: Full=7-alpha-hydroxysteroid dehydrogenase; Short=7-alpha-HSDH; EC=1.1.1.159;
P0AEU0	HISJ_ECOLI	RecName: Full=Histidine-binding periplasmic protein; Short=HBP; Flags: Precursor;
P0AEX9	MALE_ECOLI	RecName: Full=Maltose-binding periplasmic protein; AltName: Full=MBP; AltName: Full=MMBP; AltName: Full=Maltodextrin-binding protein; Flags: Precursor;
P0AEZ3	MIND_ECOLI	RecName: Full=Septum site-determining protein MinD; AltName: Full=Cell division inhibitor MinD;
P0AEZ9	MOAB_ECOLI	RecName: Full=Molybdenum cofactor biosynthesis protein B;
P0AF03	MOG_ECOLI	RecName: Full=Molybdopterin adenylyltransferase; Short=MPT adenylyltransferase; EC=2.7.7.75;
P0AF12	MTNN_ECOLI	RecName: Full=5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase; Short=MTA/SAH nucleosidase; Short=MTAN; EC=3.2.2.9; AltName: Full=5'-methylthioadenosine nucleosidase; Short=MTA nucleosidase; AltName: Full=P46; AltName: Full=S-adenosylhomocysteine nucleosidase; Short=AdoHcy nucleosidase; Short=SAH nucleosidase; Short=SRH nucleosidase;
P0AF93	YJGF_ECOLI	RecName: Full=RutC family protein yjgF;
P0AFC7	NUOB_ECOLI	RecName: Full=NADH-quinone oxidoreductase subunit B; EC=1.6.99.5; AltName: Full=NADH dehydrogenase I subunit B; AltName: Full=NDH-1 subunit B; AltName: Full=NUO2;
P0AFF6	NUSA_ECOLI	RecName: Full=Transcription elongation protein nusA; AltName: Full=L factor; AltName: Full=N utilization substance protein A;
P0AFG0	NUSG_ECOLI	RecName: Full=Transcription antitermination protein nusG;
P0AFG3	ODO1_ECOLI	RecName: Full=2-oxoglutarate dehydrogenase E1 component; EC=1.2.4.2; AltName: Full=Alpha-ketoglutarate dehydrogenase;
P0AFG6	ODO2_ECOLI	RecName: Full=Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex; EC=2.3.1.61; AltName: Full=2-oxoglutarate dehydrogenase complex component E2; Short=OGDC-E2; AltName: Full=Dihydrolipoamide succinyltransferase component of 2-oxoglutarate dehydrogenase complex;
P0AFG8	ODP1_ECOLI	RecName: Full=Pyruvate dehydrogenase E1 component; EC=1.2.4.1;
P0AFK9	POTD_ECOLI	RecName: Full=Spermidine/putrescine-binding periplasmic protein; Short=SPBP; Flags: Precursor;
P0AFL3	PPIA_ECOLI	RecName: Full=Peptidyl-prolyl cis-trans isomerase A; Short=PPIase A; EC=5.2.1.8; AltName: Full=Cyclophilin A; AltName: Full=Rotamase A; Flags: Precursor;
P0AFM2	PROX_ECOLI	RecName: Full=Glycine betaine-binding periplasmic protein; Flags: Precursor;
P0AFU8	RISA_ECOLI	RecName: Full=Riboflavin synthase alpha chain; EC=2.5.1.9;
P0AFZ3	SSPB_ECOLI	RecName: Full=Stringent starvation protein B;
P0AG18	PURE_ECOLI	RecName: Full=N5-carboxyaminoimidazole ribonucleotide mutase; Short=N5-CAIR mutase; EC=5.4.99.18; AltName: Full=5-(carboxyamino)imidazole ribonucleotide mutase;
P0AG48	RL21_ECOLI	RecName: Full=50S ribosomal protein L21;
P0AG67	RS1_ECOLI	RecName: Full=30S ribosomal protein S1;
P0AG78	SUBI_ECOLI	RecName: Full=Sulfate-binding protein; AltName: Full=Sulfate starvation-induced protein 2; Short=SSI2; Flags: Precursor;
P0AG82	PSTS_ECOLI	RecName: Full=Phosphate-binding protein pstS; Short=PBP; Flags: Precursor;
P0AGD3	SODF_ECOLI	RecName: Full=Superoxide dismutase [Fe]; EC=1.15.1.1;
P0AGE0	SSB_ECOLI	RecName: Full=Single-stranded DNA-binding protein; Short=SSB; AltName: Full=Helix-destabilizing protein;
P0AGE9	SUCD_ECOLI	RecName: Full=Succinyl-CoA ligase [ADP-forming] subunit alpha; EC=6.2.1.5; AltName: Full=Succinyl-CoA synthetase subunit alpha; Short=SCS-alpha;
P0AGJ9	SYY_ECOLI	RecName: Full=Tyrosyl-tRNA synthetase; EC=6.1.1.1; AltName: Full=Tyrosine--tRNA ligase; Short=TyrRS;
P0C054	IBPA_ECOLI	RecName: Full=Small heat shock protein ibpA; AltName: Full=16 kDa heat shock protein A;
P0C0V0	DEGP_ECOLI	RecName: Full=Protease do; EC=3.4.21.-; Flags: Precursor;
P0CE48	EFTU2_ECOLI	RecName: Full=Elongation factor Tu 2; Short=EF-Tu 2; AltName: Full=P-43;
P10371	HIS4_ECOLI	RecName: Full=1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase; EC=5.3.1.16; AltName: Full=Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase;
P11553	FUCK_ECOLI	RecName: Full=L-fuculokinase; EC=2.7.1.51; AltName: Full=L-fuculose kinase;
P11875	SYR_ECOLI	RecName: Full=Arginyl-tRNA synthetase; EC=6.1.1.19; AltName: Full=Arginine--tRNA ligase; Short=ArgRS;
P12758	UDP_ECOLI	RecName: Full=Uridine phosphorylase; Short=UPase; Short=UrdPase; EC=2.4.2.3;
P13009	METH_ECOLI	RecName: Full=Methionine synthase; EC=2.1.1.13; AltName: Full=5-methyltetrahydrofolate--homocysteine methyltransferase; AltName: Full=Methionine synthase, vitamin-B12-dependent; Short=MS;
P13029	KATG_ECOLI	RecName: Full=Catalase-peroxidase; Short=CP; EC=1.11.1.21; AltName: Full=Hydroperoxidase I; Short=HPI; AltName: Full=Peroxidase/catalase;
P13035	GLPD_ECOLI	RecName: Full=Aerobic glycerol-3-phosphate dehydrogenase; EC=1.1.5.3;
P13857	RIML_ECOLI	RecName: Full=Ribosomal-protein-serine acetyltransferase; EC=2.3.1.-; AltName: Full=Acetylating enzyme for N-terminal of ribosomal protein L7/L12;
P15288	PEPD_ECOLI	RecName: Full=Cytosol non-specific dipeptidase; EC=3.4.13.18; AltName: Full=Aminoacyl-histidine dipeptidase; AltName: Full=Beta-alanyl-histidine dipeptidase; AltName: Full=Carnosinase; AltName: Full=Cysteinylglycinase; AltName: Full=Peptidase D; AltName: Full=Xaa-His dipeptidase; Short=X-His dipeptidase;
P15639	PUR9_ECOLI	RecName: Full=Bifunctional purine biosynthesis protein PurH; Includes: RecName: Full=Phosphoribosylaminoimidazolecarboxamide formyltransferase; EC=2.1.2.3; AltName: Full=AICAR transformylase; Includes: RecName: Full=IMP cyclohydrolase; EC=3.5.4.10; AltName: Full=ATIC; AltName: Full=IMP synthase; AltName: Full=Inosinicase;
P15640	PUR2_ECOLI	RecName: Full=Phosphoribosylamine--glycine ligase; EC=6.3.4.13; AltName: Full=GARS; AltName: Full=Glycinamide ribonucleotide synthetase; AltName: Full=Phosphoribosylglycinamide synthetase;
P16659	SYP_ECOLI	RecName: Full=Prolyl-tRNA synthetase; EC=6.1.1.15; AltName: Full=Global RNA synthesis factor; AltName: Full=Proline--tRNA ligase; Short=ProRS;
P16700	CYSP_ECOLI	RecName: Full=Thiosulfate-binding protein; Flags: Precursor;
P16703	CYSM_ECOLI	RecName: Full=Cysteine synthase B; Short=CSase B; EC=2.5.1.47; AltName: Full=O-acetylserine (thiol)-lyase B; Short=OAS-TL B; AltName: Full=O-acetylserine sulfhydrylase B;
P17315	CIRA_ECOLI	RecName: Full=Colicin I receptor; Flags: Precursor;
P18335	ARGD_ECOLI	RecName: Full=Acetylornithine/succinyldiaminopimelate aminotransferase; Short=ACOAT; Short=DapATase; Short=Succinyldiaminopimelate transferase; EC=2.6.1.11; EC=2.6.1.17;
P18843	NADE_ECOLI	RecName: Full=NH(3)-dependent NAD(+) synthetase; EC=6.3.1.5; AltName: Full=Nicotinamide adenine dinucleotide synthetase; Short=NADS; AltName: Full=Nitrogen regulatory protein;
P21165	PEPQ_ECOLI	RecName: Full=Xaa-Pro dipeptidase; Short=X-Pro dipeptidase; EC=3.4.13.9; AltName: Full=Imidodipeptidase; AltName: Full=Proline dipeptidase; Short=Prolidase;
P21179	CATE_ECOLI	RecName: Full=Catalase HPII; EC=1.11.1.6; AltName: Full=Hydroxyperoxidase II;
P21889	SYD_ECOLI	RecName: Full=Aspartyl-tRNA synthetase; EC=6.1.1.12; AltName: Full=Aspartate--tRNA ligase; Short=AspRS;
P22188	MURE_ECOLI	RecName: Full=UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase; EC=6.3.2.13; AltName: Full=Meso-A2pm-adding enzyme; AltName: Full=Meso-diaminopimelate-adding enzyme; AltName: Full=UDP-MurNAc-L-Ala-D-Glu:meso-diaminopimelate ligase; AltName: Full=UDP-MurNAc-tripeptide synthetase; AltName: Full=UDP-N-acetylmuramyl-tripeptide synthetase;
P22939	ISPA_ECOLI	RecName: Full=Farnesyl diphosphate synthase; Short=FPP synthase; EC=2.5.1.10; AltName: Full=(2E,6E)-farnesyl diphosphate synthase; AltName: Full=Geranyltranstransferase;
P23538	PPSA_ECOLI	RecName: Full=Phosphoenolpyruvate synthase; Short=PEP synthase; EC=2.7.9.2; AltName: Full=Pyruvate, water dikinase;
P23721	SERC_ECOLI	RecName: Full=Phosphoserine aminotransferase; EC=2.6.1.52; AltName: Full=Phosphohydroxythreonine aminotransferase; Short=PSAT;
P23843	OPPA_ECOLI	RecName: Full=Periplasmic oligopeptide-binding protein; Flags: Precursor;
P23847	DPPA_ECOLI	RecName: Full=Periplasmic dipeptide transport protein; AltName: Full=Dipeptide-binding protein; Short=DBP; Flags: Precursor;
P23869	PPIB_ECOLI	RecName: Full=Peptidyl-prolyl cis-trans isomerase B; Short=PPIase B; EC=5.2.1.8; AltName: Full=Rotamase B;
P23882	FMT_ECOLI	RecName: Full=Methionyl-tRNA formyltransferase; EC=2.1.2.9;
P23909	MUTS_ECOLI	RecName: Full=DNA mismatch repair protein mutS;
P24192	HYPD_ECOLI	RecName: Full=Hydrogenase isoenzymes formation protein hypD;
P24216	FLID_ECOLI	RecName: Full=Flagellar hook-associated protein 2; Short=HAP2; AltName: Full=Filament cap protein; AltName: Full=Flagellar cap protein;
P25553	ALDA_ECOLI	RecName: Full=Lactaldehyde dehydrogenase; EC=1.2.1.22; AltName: Full=Aldehyde dehydrogenase A; AltName: Full=Glycolaldehyde dehydrogenase; EC=1.2.1.21;
P25906	YDBC_ECOLI	RecName: Full=Putative oxidoreductase YdbC; EC=1.-.-.-;
P26646	YHDH_ECOLI	RecName: Full=Putative quinone oxidoreductase YhdH; EC=1.6.5.-;
P28635	METQ_ECOLI	RecName: Full=D-methionine-binding lipoprotein metQ; Flags: Precursor;
P29744	FLGL_ECOLI	RecName: Full=Flagellar hook-associated protein 3; Short=HAP3; AltName: Full=Hook-filament junction protein;
P30126	LEUD_ECOLI	RecName: Full=3-isopropylmalate dehydratase small subunit; EC=4.2.1.33; AltName: Full=Alpha-IPM isomerase; Short=IPMI; AltName: Full=Isopropylmalate isomerase;
P30137	THIE_ECOLI	RecName: Full=Thiamine-phosphate pyrophosphorylase; Short=TMP pyrophosphorylase; Short=TMP-PPase; EC=2.5.1.3; AltName: Full=Thiamine-phosphate synthase;
P30859	ARTI_ECOLI	RecName: Full=Putative ABC transporter arginine-binding protein 2; Flags: Precursor;
P30860	ARTJ_ECOLI	RecName: Full=ABC transporter arginine-binding protein 1; Flags: Precursor;
P31133	POTF_ECOLI	RecName: Full=Putrescine-binding periplasmic protein; Flags: Precursor;
P31441	ADEC_ECOLI	RecName: Full=Adenine deaminase; Short=Adenase; Short=Adenine aminase; EC=3.5.4.2;
P31471	YIEL_ECOLI	RecName: Full=Uncharacterized protein yieL;
P31554	LPTD_ECOLI	RecName: Full=LPS-assembly protein lptD; AltName: Full=Organic solvent tolerance protein; Flags: Precursor;
P31658	HCHA_ECOLI	RecName: Full=Chaperone protein hchA; AltName: Full=EcHsp31; AltName: Full=Hsp31;
P31663	PANC_ECOLI	RecName: Full=Pantothenate synthetase; Short=PS; EC=6.3.2.1; AltName: Full=Pantoate--beta-alanine ligase; AltName: Full=Pantoate-activating enzyme;
P31678	OTSB_ECOLI	RecName: Full=Trehalose-phosphate phosphatase; Short=TPP; EC=3.1.3.12; AltName: Full=Osmoregulatory trehalose synthesis protein B; AltName: Full=Trehalose 6-phosphate phosphatase; AltName: Full=Trehalose-phosphatase;
P32662	GPH_ECOLI	RecName: Full=Phosphoglycolate phosphatase; Short=PGP; Short=PGPase; EC=3.1.3.18;
P33136	OPGG_ECOLI	RecName: Full=Glucans biosynthesis protein G; Flags: Precursor;
P35340	AHPF_ECOLI	RecName: Full=Alkyl hydroperoxide reductase subunit F; EC=1.8.1.-; AltName: Full=Alkyl hydroperoxide reductase F52A protein;
P36683	ACON2_ECOLI	RecName: Full=Aconitate hydratase 2; Short=Aconitase; EC=4.2.1.3; AltName: Full=2-methylisocitrate dehydratase; EC=4.2.1.99; AltName: Full=Citrate hydro-lyase;
P37016	YADK_ECOLI	RecName: Full=Uncharacterized protein yadK;
P37329	MODA_ECOLI	RecName: Full=Molybdate-binding periplasmic protein; Flags: Precursor;
P37349	DHAM_ECOLI	RecName: Full=PTS-dependent dihydroxyacetone kinase, phosphotransferase subunit dhaM; Includes: RecName: Full=Phosphocarrier protein HPr; Short=Protein H; Includes: RecName: Full=Phosphotransferase enzyme IIA component; EC=2.7.1.-; AltName: Full=PTS system EIIA component;
P37689	GPMI_ECOLI	RecName: Full=2,3-bisphosphoglycerate-independent phosphoglycerate mutase; Short=BPG-independent PGAM; Short=Phosphoglyceromutase; Short=iPGM; EC=5.4.2.1;
P37744	RMLA1_ECOLI	RecName: Full=Glucose-1-phosphate thymidylyltransferase 1; Short=G1P-TT 1; EC=2.7.7.24; AltName: Full=dTDP-glucose pyrophosphorylase 1; AltName: Full=dTDP-glucose synthase 1;
P37902	GLTI_ECOLI	RecName: Full=Glutamate/aspartate periplasmic-binding protein; Flags: Precursor;
P37903	USPF_ECOLI	RecName: Full=Universal stress protein F;
P38489	NFNB_ECOLI	RecName: Full=Oxygen-insensitive NAD(P)H nitroreductase; EC=1.-.-.-; AltName: Full=Dihydropteridine reductase; EC=1.5.1.34; AltName: Full=FMN-dependent nitroreductase;
P39099	DEGQ_ECOLI	RecName: Full=Protease degQ; EC=3.4.21.-; Flags: Precursor;
P39172	ZNUA_ECOLI	RecName: Full=High-affinity zinc uptake system protein znuA; Flags: Precursor;
P39177	USPG_ECOLI	RecName: Full=Universal stress protein G;
P39304	ULAD_ECOLI	RecName: Full=3-keto-L-gulonate-6-phosphate decarboxylase ulaD; EC=4.1.1.85; AltName: Full=3-dehydro-L-gulonate-6-phosphate decarboxylase; AltName: Full=KGPDC; AltName: Full=L-ascorbate utilization protein D;
P45523	FKBA_ECOLI	RecName: Full=FKBP-type peptidyl-prolyl cis-trans isomerase fkpA; Short=PPIase; EC=5.2.1.8; AltName: Full=Rotamase; Flags: Precursor;
P45578	LUXS_ECOLI	RecName: Full=S-ribosylhomocysteine lyase; EC=4.4.1.21; AltName: Full=AI-2 synthesis protein; AltName: Full=Autoinducer-2 production protein LuxS;
P46850	RTCB_ECOLI	RecName: Full=RNA-splicing ligase RtcB; EC=6.5.1.-;
P60595	HIS5_ECOLI	RecName: Full=Imidazole glycerol phosphate synthase subunit HisH; EC=2.4.2.-; AltName: Full=IGP synthase glutamine amidotransferase subunit; AltName: Full=IGP synthase subunit HisH; AltName: Full=ImGP synthase subunit HisH; Short=IGPS subunit HisH;
P60651	SPEB_ECOLI	RecName: Full=Agmatinase; EC=3.5.3.11; AltName: Full=Agmatine ureohydrolase; Short=AUH;
P60757	HIS1_ECOLI	RecName: Full=ATP phosphoribosyltransferase; Short=ATP-PRT; Short=ATP-PRTase; EC=2.4.2.17;
P60906	SYH_ECOLI	RecName: Full=Histidyl-tRNA synthetase; EC=6.1.1.21; AltName: Full=Histidine--tRNA ligase; Short=HisRS;
P61316	LOLA_ECOLI	RecName: Full=Outer-membrane lipoprotein carrier protein; AltName: Full=P20; Flags: Precursor;
P61714	RISB_ECOLI	RecName: Full=6,7-dimethyl-8-ribityllumazine synthase; Short=DMRL synthase; Short=Lumazine synthase; EC=2.5.1.9; AltName: Full=Riboflavin synthase beta chain;
P61889	MDH_ECOLI	RecName: Full=Malate dehydrogenase; EC=1.1.1.37;
P62707	GPMA_ECOLI	RecName: Full=2,3-bisphosphoglycerate-dependent phosphoglycerate mutase; Short=BPG-dependent PGAM; Short=PGAM; Short=Phosphoglyceromutase; Short=dPGM; EC=5.4.2.1;
P63020	NFUA_ECOLI	RecName: Full=Fe/S biogenesis protein nfuA;
P63284	CLPB_ECOLI	RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1;
P67910	HLDD_ECOLI	RecName: Full=ADP-L-glycero-D-manno-heptose-6-epimerase; EC=5.1.3.20; AltName: Full=ADP-L-glycero-beta-D-manno-heptose-6-epimerase; Short=ADP-glyceromanno-heptose 6-epimerase; Short=ADP-hep 6-epimerase; Short=AGME;
P68066	GRCA_ECOLI	RecName: Full=Autonomous glycyl radical cofactor;
P68919	RL25_ECOLI	RecName: Full=50S ribosomal protein L25;
P69441	KAD_ECOLI	RecName: Full=Adenylate kinase; Short=AK; EC=2.7.4.3; AltName: Full=ATP-AMP transphosphorylase;
P69503	APT_ECOLI	RecName: Full=Adenine phosphoribosyltransferase; Short=APRT; EC=2.4.2.7;
P69783	PTGA_ECOLI	RecName: Full=Glucose-specific phosphotransferase enzyme IIA component; EC=2.7.1.-; AltName: Full=EIIA-Glc; AltName: Full=EIII-Glc; AltName: Full=PTS system glucose-specific EIIA component;
P69797	PTNAB_ECOLI	RecName: Full=PTS system mannose-specific EIIAB component; AltName: Full=EIIAB-Man; Includes: RecName: Full=Mannose-specific phosphotransferase enzyme IIA component; EC=2.7.1.-; AltName: Full=EIII-Man; AltName: Full=PTS system mannose-specific EIIA component; Includes: RecName: Full=Mannose-specific phosphotransferase enzyme IIB component; EC=2.7.1.69; AltName: Full=PTS system mannose-specific EIIB component;
P69811	PTFAH_ECOLI	RecName: Full=Multiphosphoryl transfer protein; Short=MTP; AltName: Full=Phosphotransferase FPr protein; AltName: Full=Pseudo-HPr; Includes: RecName: Full=Phosphocarrier protein HPr; Short=Protein H; Includes: RecName: Full=Fructose-specific phosphotransferase enzyme IIA component; EC=2.7.1.-; AltName: Full=PTS system fructose-specific EIIA component;
P75691	YAHK_ECOLI	RecName: Full=Uncharacterized zinc-type alcohol dehydrogenase-like protein YahK; EC=1.-.-.-;
P75797	GSIB_ECOLI	RecName: Full=Glutathione-binding protein gsiB; Flags: Precursor;
P76002	PLIG_ECOLI	RecName: Full=Inhibitor of g-type lysozyme; Flags: Precursor;
P76149	SAD_ECOLI	RecName: Full=Succinate semialdehyde dehydrogenase [NAD(P)+] Sad; Short=SSADH; Short=SSDH; EC=1.2.1.16;
P76270	YEBR_ECOLI	RecName: Full=Protein yebR;
P76290	CMOA_ECOLI	RecName: Full=tRNA (cmo5U34)-methyltransferase; EC=2.1.1.-;
P76344	ZINT_ECOLI	RecName: Full=Metal-binding protein ZinT; AltName: Full=Cadmium-induced protein ZinT; Flags: Precursor;
P77247	YNIC_ECOLI	RecName: Full=Phosphatase YniC; EC=3.1.3.-;
P77258	NEMA_ECOLI	RecName: Full=N-ethylmaleimide reductase; EC=1.-.-.-; AltName: Full=N-ethylmaleimide reducing enzyme;
P77348	MPPA_ECOLI	RecName: Full=Periplasmic murein peptide-binding protein; Flags: Precursor;
P77395	YBBN_ECOLI	RecName: Full=Uncharacterized protein ybbN;
P77791	MAA_ECOLI	RecName: Full=Maltose O-acetyltransferase; EC=2.3.1.79; AltName: Full=Maltose transacetylase;
